question,prompt,answer
Did Francine and Jessie have a talk yesterday?,"Did Francine and Jessie have a talk yesterday?: Francine: hey hon
Francine: how are you today?
Francine: I hope our talk yesterday helped a bit
Jessie: hiya 
Jessie: i'm still pretty overwhelmed 
Jessie: but I was able to calm down a little after we spoke
Jessie: thank you for checking up on me <3
Jessie: a lot of people just don't know what to say, so they don't call...
Francine: I'm always here if you need me
Francine: that's what friends are for <3
Francine: seriously, whenever you need, just call me
Jessie: 😭😭😭
Jessie: thank you <3
Francine: anytime <3",Francine and Jessie had a talk yesterday
Did Francine and Jessie have a talk yesterday?,"Did Francine and Jessie have a talk yesterday?: Annie: Are you going to be at school?
Christine: Not tomorrow. I am not well.
Annie: Oh noes! What happened?
Christine: Got the flu, I think.
Annie: what's your temperature?
Christine: Not high, I'm not running a fever or anything
Annie: Are you eating ok?
Christine: Yeah. Just blocked nose, sore throat. Tired.
Annie: Sounds like you've got a cold. You need anything?
Christine: I could do with some Theraflu.
Annie: OK, I think we've still got some sachets, should be in date. I'll drop them through your letterbox later on.
Christine: Yeah. Don't call in because I'll feel bad if you catch this cold off me.
Annie: I think I probably had it already, but you might be sleeping.
Christine: If the light in my room is on, call if you want.",I cannot be sure given this transcript
Was she able to calm down a bit after they spoke?,"Was she able to calm down a bit after they spoke?: Francine: hey hon
Francine: how are you today?
Francine: I hope our talk yesterday helped a bit
Jessie: hiya 
Jessie: i'm still pretty overwhelmed 
Jessie: but I was able to calm down a little after we spoke
Jessie: thank you for checking up on me <3
Jessie: a lot of people just don't know what to say, so they don't call...
Francine: I'm always here if you need me
Francine: that's what friends are for <3
Francine: seriously, whenever you need, just call me
Jessie: 😭😭😭
Jessie: thank you <3
Francine: anytime <3",She was able to calm down a bit after they spoke
Was she able to calm down a bit after they spoke?,"Was she able to calm down a bit after they spoke?: Annie: Are you going to be at school?
Christine: Not tomorrow. I am not well.
Annie: Oh noes! What happened?
Christine: Got the flu, I think.
Annie: what's your temperature?
Christine: Not high, I'm not running a fever or anything
Annie: Are you eating ok?
Christine: Yeah. Just blocked nose, sore throat. Tired.
Annie: Sounds like you've got a cold. You need anything?
Christine: I could do with some Theraflu.
Annie: OK, I think we've still got some sachets, should be in date. I'll drop them through your letterbox later on.
Christine: Yeah. Don't call in because I'll feel bad if you catch this cold off me.
Annie: I think I probably had it already, but you might be sleeping.
Christine: If the light in my room is on, call if you want.",I cannot be sure given this transcript
Is Francine always there for Jessi?,"Is Francine always there for Jessi?: Francine: hey hon
Francine: how are you today?
Francine: I hope our talk yesterday helped a bit
Jessie: hiya 
Jessie: i'm still pretty overwhelmed 
Jessie: but I was able to calm down a little after we spoke
Jessie: thank you for checking up on me <3
Jessie: a lot of people just don't know what to say, so they don't call...
Francine: I'm always here if you need me
Francine: that's what friends are for <3
Francine: seriously, whenever you need, just call me
Jessie: 😭😭😭
Jessie: thank you <3
Francine: anytime <3",Francine is always there for Jessi.
Is Francine always there for Jessi?,"Is Francine always there for Jessi?: Annie: Are you going to be at school?
Christine: Not tomorrow. I am not well.
Annie: Oh noes! What happened?
Christine: Got the flu, I think.
Annie: what's your temperature?
Christine: Not high, I'm not running a fever or anything
Annie: Are you eating ok?
Christine: Yeah. Just blocked nose, sore throat. Tired.
Annie: Sounds like you've got a cold. You need anything?
Christine: I could do with some Theraflu.
Annie: OK, I think we've still got some sachets, should be in date. I'll drop them through your letterbox later on.
Christine: Yeah. Don't call in because I'll feel bad if you catch this cold off me.
Annie: I think I probably had it already, but you might be sleeping.
Christine: If the light in my room is on, call if you want.",I cannot be sure given this transcript
Has Maria cooked a lot?,"Has Maria cooked a lot?: Pete: Did you clean the hamster cage?
Adelle: No. Is it my turn?
Pete: Yes. After school, no excuses.
Adelle: Fine.",I cannot be sure given this transcript
Did Richard take Hannah's parking spot again?,"Did Richard take Hannah's parking spot again?: Hannah: The motherfucker took my spot again
Pamela: Richard?
Anne: I saw him parking...",Richard took Hannah's parking spot again
Did Richard take Hannah's parking spot again?,"Did Richard take Hannah's parking spot again?: Mariana: Hi, just a quick question. Do you know if the readings for the next session of Stephen’s seminar are in the print shop?
Rita: No idea, sorry
Chae-yeong: The only thing I know is that they were not yet there on Monday
Arthur: Yer, I’ve made the mistake of going on Monday as well and I can confirm the texts were not there and the staff was as rude as always
Mariana: Sounds familiar
Rita: I’ll go tomorrow morning and let you know if the texts are available
Rita: I can’t buy the copies for you because they never have enough at hand but I’ll just ask them to print more for later
Chae-yeong: No worries
Arthur: Yeah, just let us know if they’re ready, that’s a huge favour already
Rita: Cool. Will do! xx",I cannot be sure given this transcript
Did Anne see him parking?,"Did Anne see him parking?: Hannah: The motherfucker took my spot again
Pamela: Richard?
Anne: I saw him parking...",Anne saw him parking
Did Anne see him parking?,"Did Anne see him parking?: Mariana: Hi, just a quick question. Do you know if the readings for the next session of Stephen’s seminar are in the print shop?
Rita: No idea, sorry
Chae-yeong: The only thing I know is that they were not yet there on Monday
Arthur: Yer, I’ve made the mistake of going on Monday as well and I can confirm the texts were not there and the staff was as rude as always
Mariana: Sounds familiar
Rita: I’ll go tomorrow morning and let you know if the texts are available
Rita: I can’t buy the copies for you because they never have enough at hand but I’ll just ask them to print more for later
Chae-yeong: No worries
Arthur: Yeah, just let us know if they’re ready, that’s a huge favour already
Rita: Cool. Will do! xx",I cannot be sure given this transcript
Who did Richard take Hannah's parking spot from?,"Who did Richard take Hannah's parking spot from?: Mariana: Hi, just a quick question. Do you know if the readings for the next session of Stephen’s seminar are in the print shop?
Rita: No idea, sorry
Chae-yeong: The only thing I know is that they were not yet there on Monday
Arthur: Yer, I’ve made the mistake of going on Monday as well and I can confirm the texts were not there and the staff was as rude as always
Mariana: Sounds familiar
Rita: I’ll go tomorrow morning and let you know if the texts are available
Rita: I can’t buy the copies for you because they never have enough at hand but I’ll just ask them to print more for later
Chae-yeong: No worries
Arthur: Yeah, just let us know if they’re ready, that’s a huge favour already
Rita: Cool. Will do! xx",I cannot be sure given this transcript
Why is Monica bad at buying gifts?,"Why is Monica bad at buying gifts?: Sophia: What should I get them?
Monica: How should I know?
Sophia: come on help me out
Monica: I dont know really Im bad at buying gifts
Sophia: maybe some day spa gift card
Monica: maybe
Sophia: youre not really helpful :P
Monica: Told ya... bad at gifts",Monica is bad at buying gifts
Why is Monica bad at buying gifts?,"Why is Monica bad at buying gifts?: Dan: Guys, so are we going out on Sat?
Tim: I'm ready when you are
Chris: I'm OK too, in the centre right?
Tom: I'm out guys sorry. 
Dan: come on Tom, what's wring this time
Tom: told ya before. party at in-laws
Chris: always the same story right
Martin: right guys, so what time?
Tim: start @8? finish. 8 if we're lucky
Dan: yeah, i need to be home at 2 and ready to drive on Sunday noon
Chris: so you takin it easy this time
Martin: i guess i'd have to as well
Tim: guys you sound like 60 yos
Chris: Tim, are the last two standing or what?
Tim: i gather
Dan: you two will also grow up one day.",I cannot be sure given this transcript
Why isn't Monica interested in buying a day spa gift card for Sophia?,"Why isn't Monica interested in buying a day spa gift card for Sophia?: Sophia: What should I get them?
Monica: How should I know?
Sophia: come on help me out
Monica: I dont know really Im bad at buying gifts
Sophia: maybe some day spa gift card
Monica: maybe
Sophia: youre not really helpful :P
Monica: Told ya... bad at gifts","Sophia wants to buy a day spa gift card, but Monica isn't interested in it"
Why isn't Monica interested in buying a day spa gift card for Sophia?,"Why isn't Monica interested in buying a day spa gift card for Sophia?: Dan: Guys, so are we going out on Sat?
Tim: I'm ready when you are
Chris: I'm OK too, in the centre right?
Tom: I'm out guys sorry. 
Dan: come on Tom, what's wring this time
Tom: told ya before. party at in-laws
Chris: always the same story right
Martin: right guys, so what time?
Tim: start @8? finish. 8 if we're lucky
Dan: yeah, i need to be home at 2 and ready to drive on Sunday noon
Chris: so you takin it easy this time
Martin: i guess i'd have to as well
Tim: guys you sound like 60 yos
Chris: Tim, are the last two standing or what?
Tim: i gather
Dan: you two will also grow up one day.",I cannot be sure given this transcript
What does Monica advise Sophia to buy instead?,"What does Monica advise Sophia to buy instead?: Sophia: What should I get them?
Monica: How should I know?
Sophia: come on help me out
Monica: I dont know really Im bad at buying gifts
Sophia: maybe some day spa gift card
Monica: maybe
Sophia: youre not really helpful :P
Monica: Told ya... bad at gifts",Monica advises Sophia to buy something else
What does Monica advise Sophia to buy instead?,"What does Monica advise Sophia to buy instead?: Dan: Guys, so are we going out on Sat?
Tim: I'm ready when you are
Chris: I'm OK too, in the centre right?
Tom: I'm out guys sorry. 
Dan: come on Tom, what's wring this time
Tom: told ya before. party at in-laws
Chris: always the same story right
Martin: right guys, so what time?
Tim: start @8? finish. 8 if we're lucky
Dan: yeah, i need to be home at 2 and ready to drive on Sunday noon
Chris: so you takin it easy this time
Martin: i guess i'd have to as well
Tim: guys you sound like 60 yos
Chris: Tim, are the last two standing or what?
Tim: i gather
Dan: you two will also grow up one day.",I cannot be sure given this transcript
Is Nicki going to sing the anthem at the game?,"Is Nicki going to sing the anthem at the game?: Yannick: I heard you are going to sing the anthem
Yannick: At the game
Nicki: Yes I am 
Nicki: I am nervous! 
Yannick: Dont be
Yannick: It's a huge privilege to sing the anthem in front of thousands of people!
Nicki: I hoep I won't forget the lyrics
Nicki: hope* 
Yannick: Youre a great singer
Yannick: You will be fine 
Nicki: I have to rehearse 
Yannick: Your parents coming with you?
Nicki: Yes
Yannick: They're probably proud of you good luck! 
Nicki: Thank you Yannick",Nicki is going to sing the anthem at the game
Is Nicki going to sing the anthem at the game?,"Is Nicki going to sing the anthem at the game?: Emily: Does anybody now where the next ASEEES conference takes place?
Chloe: Actually I have no idea, but a good question
James: I've heard somewhere in California
James: Yes, San Francisco!
Chloe: not bad, but I really hoped for Hawaii 
James: hahaha, oh yes, but it won't happen too soon
Chloe: why do you think so?
James: The last conference there in 1993 was criticised for the high costs of traveling to the place
Chloes: I see, pity",I cannot be sure given this transcript
Does she have to rehearse?,"Does she have to rehearse?: Emily: Does anybody now where the next ASEEES conference takes place?
Chloe: Actually I have no idea, but a good question
James: I've heard somewhere in California
James: Yes, San Francisco!
Chloe: not bad, but I really hoped for Hawaii 
James: hahaha, oh yes, but it won't happen too soon
Chloe: why do you think so?
James: The last conference there in 1993 was criticised for the high costs of traveling to the place
Chloes: I see, pity",I cannot be sure given this transcript
Are Yannick's parents coming with her?,"Are Yannick's parents coming with her?: Yannick: I heard you are going to sing the anthem
Yannick: At the game
Nicki: Yes I am 
Nicki: I am nervous! 
Yannick: Dont be
Yannick: It's a huge privilege to sing the anthem in front of thousands of people!
Nicki: I hoep I won't forget the lyrics
Nicki: hope* 
Yannick: Youre a great singer
Yannick: You will be fine 
Nicki: I have to rehearse 
Yannick: Your parents coming with you?
Nicki: Yes
Yannick: They're probably proud of you good luck! 
Nicki: Thank you Yannick",Yannick's parents are coming with her.
Are Yannick's parents coming with her?,"Are Yannick's parents coming with her?: Emily: Does anybody now where the next ASEEES conference takes place?
Chloe: Actually I have no idea, but a good question
James: I've heard somewhere in California
James: Yes, San Francisco!
Chloe: not bad, but I really hoped for Hawaii 
James: hahaha, oh yes, but it won't happen too soon
Chloe: why do you think so?
James: The last conference there in 1993 was criticised for the high costs of traveling to the place
Chloes: I see, pity",I cannot be sure given this transcript
Did Chloe buy Victoria new socks?,"Did Chloe buy Victoria new socks?: Carter: <file_photo> Sure it's nearly Christmas, right Chloe!?!
Chloe: Yes so it's time I bought you new socks ha
Carter: Socks serve the purpose of keeping your feet warm, why do they have to be the same 😉
Victoria: I gave up for the second dive today. Felt like Christmas under there... and to cheer me up I bought myself a new shiny piece of gold equipment....so.....definitely Christmas! Love the unmatched socks 😍🤙🏼🤙🏼",Chloe bought Victoria new socks
Did Chloe buy Victoria new socks?,"Did Chloe buy Victoria new socks?: Jake: Maaaan! you in london?!
Mike: <file_photo>
Mike: yeah mate! dreams coming true!
Jake: cool! congrats!",I cannot be sure given this transcript
Did Victoria give up for the second dive today?,"Did Victoria give up for the second dive today?: Carter: <file_photo> Sure it's nearly Christmas, right Chloe!?!
Chloe: Yes so it's time I bought you new socks ha
Carter: Socks serve the purpose of keeping your feet warm, why do they have to be the same 😉
Victoria: I gave up for the second dive today. Felt like Christmas under there... and to cheer me up I bought myself a new shiny piece of gold equipment....so.....definitely Christmas! Love the unmatched socks 😍🤙🏼🤙🏼",Victoria gave up for the second dive today
Did Victoria give up for the second dive today?,"Did Victoria give up for the second dive today?: Jake: Maaaan! you in london?!
Mike: <file_photo>
Mike: yeah mate! dreams coming true!
Jake: cool! congrats!",I cannot be sure given this transcript
Did Victoria buy herself a new shiny piece of gold equipment?,"Did Victoria buy herself a new shiny piece of gold equipment?: Carter: <file_photo> Sure it's nearly Christmas, right Chloe!?!
Chloe: Yes so it's time I bought you new socks ha
Carter: Socks serve the purpose of keeping your feet warm, why do they have to be the same 😉
Victoria: I gave up for the second dive today. Felt like Christmas under there... and to cheer me up I bought myself a new shiny piece of gold equipment....so.....definitely Christmas! Love the unmatched socks 😍🤙🏼🤙🏼",Victoria bought herself a new shiny piece of gold equipment.
Did Victoria buy herself a new shiny piece of gold equipment?,"Did Victoria buy herself a new shiny piece of gold equipment?: Jake: Maaaan! you in london?!
Mike: <file_photo>
Mike: yeah mate! dreams coming true!
Jake: cool! congrats!",I cannot be sure given this transcript
How long did Ammalee's nails last?,"How long did Ammalee's nails last?: Ammalee: <file_photo>
Ammalee: This lasted over a month.♪┏(・o･)┛♪┗ ( ･o･) ┓
Ammalee: Could you recommend other styles? (?_?)
Maryann: Ah! Hello Ma’am! Thank you for the good review! (＾▽＾)
Maryann: Is there any style you want to do next time?
Ammalee: Yes, I heard about Acrylic nails and Linen. Which one would be better? (´∀`)
Maryann: If you want the nails to last longer I recommend you Acrylic rather than Linen. ✌️
Maryann: If you have any design in your mind, send me pictures. ☺️☺️☺️
Maryann: Then I could try them on your nails next time!!(^^)!!(^^)!!(^^)!
Ammalee: Thanks, I will send you some pictures soon!",Ammalee's nails lasted over a month
How long did Ammalee's nails last?,"How long did Ammalee's nails last?: Tom: Have you ever been to Dublin?
Camilla: Never in Ireland!
Tom: So let's go there this weekend!
Camilla: for 2 days?
Tom: Yes, the weather forecast is great!
Camilla: I love your crazy ideas!
Tom: ok, so I'm buying the tickets
Camilla: <3",I cannot be sure given this transcript
What types of nails does Maryann recommend?,"What types of nails does Maryann recommend?: Ammalee: <file_photo>
Ammalee: This lasted over a month.♪┏(・o･)┛♪┗ ( ･o･) ┓
Ammalee: Could you recommend other styles? (?_?)
Maryann: Ah! Hello Ma’am! Thank you for the good review! (＾▽＾)
Maryann: Is there any style you want to do next time?
Ammalee: Yes, I heard about Acrylic nails and Linen. Which one would be better? (´∀`)
Maryann: If you want the nails to last longer I recommend you Acrylic rather than Linen. ✌️
Maryann: If you have any design in your mind, send me pictures. ☺️☺️☺️
Maryann: Then I could try them on your nails next time!!(^^)!!(^^)!!(^^)!
Ammalee: Thanks, I will send you some pictures soon!",Maryann recommends Acrylic nails and Linen nails
What types of nails does Maryann recommend?,"What types of nails does Maryann recommend?: Tom: Have you ever been to Dublin?
Camilla: Never in Ireland!
Tom: So let's go there this weekend!
Camilla: for 2 days?
Tom: Yes, the weather forecast is great!
Camilla: I love your crazy ideas!
Tom: ok, so I'm buying the tickets
Camilla: <3",I cannot be sure given this transcript
Will she try them on her nails next time?,"Will she try them on her nails next time?: Ammalee: <file_photo>
Ammalee: This lasted over a month.♪┏(・o･)┛♪┗ ( ･o･) ┓
Ammalee: Could you recommend other styles? (?_?)
Maryann: Ah! Hello Ma’am! Thank you for the good review! (＾▽＾)
Maryann: Is there any style you want to do next time?
Ammalee: Yes, I heard about Acrylic nails and Linen. Which one would be better? (´∀`)
Maryann: If you want the nails to last longer I recommend you Acrylic rather than Linen. ✌️
Maryann: If you have any design in your mind, send me pictures. ☺️☺️☺️
Maryann: Then I could try them on your nails next time!!(^^)!!(^^)!!(^^)!
Ammalee: Thanks, I will send you some pictures soon!",She will try them on her nails next time.
Will she try them on her nails next time?,"Will she try them on her nails next time?: Tom: Have you ever been to Dublin?
Camilla: Never in Ireland!
Tom: So let's go there this weekend!
Camilla: for 2 days?
Tom: Yes, the weather forecast is great!
Camilla: I love your crazy ideas!
Tom: ok, so I'm buying the tickets
Camilla: <3",I cannot be sure given this transcript
Is Joan studying with Laura after classes?,"Is Joan studying with Laura after classes?: Alan: sweetie when wil you be home?
Joan: I'm studying with Laura after classes Dad
Alan: will you be home by 7?
Alan:  I'm making my famous chicken wings :)
Joan: dad my grades are important aren't they?
Alan: more important than my wings?
Alan: I'm hurt :D joking. study away!",Joan is studying with Laura after classes
Is Joan studying with Laura after classes?,"Is Joan studying with Laura after classes?: Gab: Ah that's better. Now we can message all we like.
Kat: :-)
Gab: So when can we meet up for a drink?
Kat: Fairly busy at the moment so I'm not sure when.
Gab: I'd love to meet you in real life.
Kat: I don't meet strange men from the internet.
Gab: Why not?
Kat: Not that sort of gal.
Gab: But you're talking to me, aren't you?
Kat: Yes, but that's different.
Gab: How so?
Kat: Just is.
Gab: But it would be so much nicer to do this cuddled up right next to you...
Kat: I think this was a mistake.
Gab: Are you there?
Gab: Where did you go?
Gab: Kat?",I cannot be sure given this transcript
Is Alan making his famous chicken wings?,"Is Alan making his famous chicken wings?: Alan: sweetie when wil you be home?
Joan: I'm studying with Laura after classes Dad
Alan: will you be home by 7?
Alan:  I'm making my famous chicken wings :)
Joan: dad my grades are important aren't they?
Alan: more important than my wings?
Alan: I'm hurt :D joking. study away!",Alan is making his famous chicken wings
Is Alan making his famous chicken wings?,"Is Alan making his famous chicken wings?: Gab: Ah that's better. Now we can message all we like.
Kat: :-)
Gab: So when can we meet up for a drink?
Kat: Fairly busy at the moment so I'm not sure when.
Gab: I'd love to meet you in real life.
Kat: I don't meet strange men from the internet.
Gab: Why not?
Kat: Not that sort of gal.
Gab: But you're talking to me, aren't you?
Kat: Yes, but that's different.
Gab: How so?
Kat: Just is.
Gab: But it would be so much nicer to do this cuddled up right next to you...
Kat: I think this was a mistake.
Gab: Are you there?
Gab: Where did you go?
Gab: Kat?",I cannot be sure given this transcript
Are Joan's grades important?,"Are Joan's grades important?: Alan: sweetie when wil you be home?
Joan: I'm studying with Laura after classes Dad
Alan: will you be home by 7?
Alan:  I'm making my famous chicken wings :)
Joan: dad my grades are important aren't they?
Alan: more important than my wings?
Alan: I'm hurt :D joking. study away!",Joan's grades are important
Are Joan's grades important?,"Are Joan's grades important?: Gab: Ah that's better. Now we can message all we like.
Kat: :-)
Gab: So when can we meet up for a drink?
Kat: Fairly busy at the moment so I'm not sure when.
Gab: I'd love to meet you in real life.
Kat: I don't meet strange men from the internet.
Gab: Why not?
Kat: Not that sort of gal.
Gab: But you're talking to me, aren't you?
Kat: Yes, but that's different.
Gab: How so?
Kat: Just is.
Gab: But it would be so much nicer to do this cuddled up right next to you...
Kat: I think this was a mistake.
Gab: Are you there?
Gab: Where did you go?
Gab: Kat?",I cannot be sure given this transcript
Will Alan be home by 7?,"Will Alan be home by 7?: Alan: sweetie when wil you be home?
Joan: I'm studying with Laura after classes Dad
Alan: will you be home by 7?
Alan:  I'm making my famous chicken wings :)
Joan: dad my grades are important aren't they?
Alan: more important than my wings?
Alan: I'm hurt :D joking. study away!",Alan will be home by 7.
Will Alan be home by 7?,"Will Alan be home by 7?: Gab: Ah that's better. Now we can message all we like.
Kat: :-)
Gab: So when can we meet up for a drink?
Kat: Fairly busy at the moment so I'm not sure when.
Gab: I'd love to meet you in real life.
Kat: I don't meet strange men from the internet.
Gab: Why not?
Kat: Not that sort of gal.
Gab: But you're talking to me, aren't you?
Kat: Yes, but that's different.
Gab: How so?
Kat: Just is.
Gab: But it would be so much nicer to do this cuddled up right next to you...
Kat: I think this was a mistake.
Gab: Are you there?
Gab: Where did you go?
Gab: Kat?",I cannot be sure given this transcript
Does Luke want Johny to find a chick on Tuesday?,"Does Luke want Johny to find a chick on Tuesday?: Johny: That girl on Tuesday music video is sexy as fuck
Luke: <file_video>
Luke: This Tuesday?
Johny: The main chick is worth breaking the rule of no-nut november
Luke: Johny please find yourself a chick.
Luke: fall for her
Luke: Love her with all your heart
Luke: And stop talking like an asshole
Johny: Man, it's just a joke
Johny: I have respect towards women
Johny: At least when they deserve it :D
Luke: Everyone deserces some respect bruh
Johny: I know man, I'm just kidding LOL
Luke: I know man, I'm just messing
Johny: You feel like clubbing tonight?
Johny: You could be my wingman xD
Luke: <file_gif>
Johny: What's with this facepalm?
Luke: Get yourself Tinder and start hunting
Johny: Hahaha. xD
Johny: I undestand you don't wanna go? 
Luke:  I've got plans for tonight
Luke: So another time mate
Johny: Chill. Another time",Luke wants Johny to find a chick on Tuesday
Does Luke want Johny to find a chick on Tuesday?,"Does Luke want Johny to find a chick on Tuesday?: Megan: Any word from Jason?
Nathan: Why do you ask?
Megan: He was absent today :c
Susy: He had a dental appointment.
Megan: Thanks for the info :)",I cannot be sure given this transcript
Does Johny want Luke to join him?,"Does Johny want Luke to join him?: Johny: That girl on Tuesday music video is sexy as fuck
Luke: <file_video>
Luke: This Tuesday?
Johny: The main chick is worth breaking the rule of no-nut november
Luke: Johny please find yourself a chick.
Luke: fall for her
Luke: Love her with all your heart
Luke: And stop talking like an asshole
Johny: Man, it's just a joke
Johny: I have respect towards women
Johny: At least when they deserve it :D
Luke: Everyone deserces some respect bruh
Johny: I know man, I'm just kidding LOL
Luke: I know man, I'm just messing
Johny: You feel like clubbing tonight?
Johny: You could be my wingman xD
Luke: <file_gif>
Johny: What's with this facepalm?
Luke: Get yourself Tinder and start hunting
Johny: Hahaha. xD
Johny: I undestand you don't wanna go? 
Luke:  I've got plans for tonight
Luke: So another time mate
Johny: Chill. Another time",Johny wants Luke to join him
Does Johny want Luke to join him?,"Does Johny want Luke to join him?: Megan: Any word from Jason?
Nathan: Why do you ask?
Megan: He was absent today :c
Susy: He had a dental appointment.
Megan: Thanks for the info :)",I cannot be sure given this transcript
"Does Luke have plans for tonight, so he doesn't want to go?","Does Luke have plans for tonight, so he doesn't want to go?: Johny: That girl on Tuesday music video is sexy as fuck
Luke: <file_video>
Luke: This Tuesday?
Johny: The main chick is worth breaking the rule of no-nut november
Luke: Johny please find yourself a chick.
Luke: fall for her
Luke: Love her with all your heart
Luke: And stop talking like an asshole
Johny: Man, it's just a joke
Johny: I have respect towards women
Johny: At least when they deserve it :D
Luke: Everyone deserces some respect bruh
Johny: I know man, I'm just kidding LOL
Luke: I know man, I'm just messing
Johny: You feel like clubbing tonight?
Johny: You could be my wingman xD
Luke: <file_gif>
Johny: What's with this facepalm?
Luke: Get yourself Tinder and start hunting
Johny: Hahaha. xD
Johny: I undestand you don't wanna go? 
Luke:  I've got plans for tonight
Luke: So another time mate
Johny: Chill. Another time","Luke has plans for tonight, so he doesn't want to go."
"Does Luke have plans for tonight, so he doesn't want to go?","Does Luke have plans for tonight, so he doesn't want to go?: Megan: Any word from Jason?
Nathan: Why do you ask?
Megan: He was absent today :c
Susy: He had a dental appointment.
Megan: Thanks for the info :)",I cannot be sure given this transcript
Has Peter brought Frank to Sports Direct store at the top of Morrisons?,"Has Peter brought Frank to Sports Direct store at the top of Morrisons?: Frank: Hi Peter has brought me to Sports Direct store at the top of 
Rosie: Ok thanks will look out for you there
Frank: We are on the ground floor
Rosie: ok
Frank: Outside Morrisons
Rosie: On my way
Frank: We might be upstairs later so look there too
Rosie: ok I will - see you soon xxx",Peter has brought Frank to Sports Direct store at the top of Morrisons
Has Peter brought Frank to Sports Direct store at the top of Morrisons?,"Has Peter brought Frank to Sports Direct store at the top of Morrisons?: Catherine: We're going to visit uncle Steve, want to come with us?
Ben: why would I?
Catherine: He's family and we haven't seen him in a long time.
Ben: you know very well that I'm not fond of such visits
Ben: they stress me out
Catherine: Come on, even you can do it from time to time.
Ben: maybe I can but I don't want to
Ben: it will end the same way as usual
Ben: with me being pissed at everyone
Catherine: The boys want to see you
Ben: I can visit you and play with them some other day
Ben: I don't have to drive to another city to do it
Catherine: You know that he'll be disappointed?
Ben: uncle Steve?
Catherine: Yes.
Ben: I don't think so, we don't have anything in common
Ben: all he ever does is bothering me with stupid questions about my private life
Catherine: Maybe that's his way of showing that he cares about you
Ben: yes... sure... sometimes I wonder if you're thinking about what you type :P
Catherine: Depends on the day
Catherine: Today I'm tired so I can't guarantee it
Ben: you should rest then
Ben: instead of asking me to do stuff I don't like
Catherine: Alright, don't worry, I'll stop
Catherine: But still the part about the boys missing you was true
Catherine: So come and visit them when you'll have the chance
Ben: I will",I cannot be sure given this transcript
Are they on the ground floor?,"Are they on the ground floor?: Frank: Hi Peter has brought me to Sports Direct store at the top of 
Rosie: Ok thanks will look out for you there
Frank: We are on the ground floor
Rosie: ok
Frank: Outside Morrisons
Rosie: On my way
Frank: We might be upstairs later so look there too
Rosie: ok I will - see you soon xxx",They are on the ground floor
Are they on the ground floor?,"Are they on the ground floor?: Catherine: We're going to visit uncle Steve, want to come with us?
Ben: why would I?
Catherine: He's family and we haven't seen him in a long time.
Ben: you know very well that I'm not fond of such visits
Ben: they stress me out
Catherine: Come on, even you can do it from time to time.
Ben: maybe I can but I don't want to
Ben: it will end the same way as usual
Ben: with me being pissed at everyone
Catherine: The boys want to see you
Ben: I can visit you and play with them some other day
Ben: I don't have to drive to another city to do it
Catherine: You know that he'll be disappointed?
Ben: uncle Steve?
Catherine: Yes.
Ben: I don't think so, we don't have anything in common
Ben: all he ever does is bothering me with stupid questions about my private life
Catherine: Maybe that's his way of showing that he cares about you
Ben: yes... sure... sometimes I wonder if you're thinking about what you type :P
Catherine: Depends on the day
Catherine: Today I'm tired so I can't guarantee it
Ben: you should rest then
Ben: instead of asking me to do stuff I don't like
Catherine: Alright, don't worry, I'll stop
Catherine: But still the part about the boys missing you was true
Catherine: So come and visit them when you'll have the chance
Ben: I will",I cannot be sure given this transcript
Might Rosie be upstairs later?,"Might Rosie be upstairs later?: Frank: Hi Peter has brought me to Sports Direct store at the top of 
Rosie: Ok thanks will look out for you there
Frank: We are on the ground floor
Rosie: ok
Frank: Outside Morrisons
Rosie: On my way
Frank: We might be upstairs later so look there too
Rosie: ok I will - see you soon xxx",Rosie might be upstairs later.
Might Rosie be upstairs later?,"Might Rosie be upstairs later?: Catherine: We're going to visit uncle Steve, want to come with us?
Ben: why would I?
Catherine: He's family and we haven't seen him in a long time.
Ben: you know very well that I'm not fond of such visits
Ben: they stress me out
Catherine: Come on, even you can do it from time to time.
Ben: maybe I can but I don't want to
Ben: it will end the same way as usual
Ben: with me being pissed at everyone
Catherine: The boys want to see you
Ben: I can visit you and play with them some other day
Ben: I don't have to drive to another city to do it
Catherine: You know that he'll be disappointed?
Ben: uncle Steve?
Catherine: Yes.
Ben: I don't think so, we don't have anything in common
Ben: all he ever does is bothering me with stupid questions about my private life
Catherine: Maybe that's his way of showing that he cares about you
Ben: yes... sure... sometimes I wonder if you're thinking about what you type :P
Catherine: Depends on the day
Catherine: Today I'm tired so I can't guarantee it
Ben: you should rest then
Ben: instead of asking me to do stuff I don't like
Catherine: Alright, don't worry, I'll stop
Catherine: But still the part about the boys missing you was true
Catherine: So come and visit them when you'll have the chance
Ben: I will",I cannot be sure given this transcript
Has Patrick done his maths homework yet?,"Has Patrick done his maths homework yet?: Kyle: hey u got maths homework?
Patrick: um.. not yet :D
Kyle: hahaha what do you mean not yet
Kyle: it's for tomorrow
Kyle: i just reminded you didn't i hahahah
Patrick: XD
Kyle: well good luck then
Patrick: tx xD guess i'm gonna need it XD",Patrick hasn't done his maths homework yet
